id,type,title,description,image,parent_group
61,a,Scandinavian,,rug-groups/s480386452440936931_p191_i1_w640_1.jpeg,56
60,a,Swedish,,rug-groups/s480386452440936931_p401_i2_w600_1.jpeg,56
59,a,Judith Johansson,,default-rug.png,56
58,a,Marta Mass Fjetterstrom,,default-rug.png,56
57,a,Ingegerd Silow,,default-rug.png,56
56,a,Swedish / Scandinavian,"Much like the dutch renaissance painters of the sixteenth century took inspiration from their Italian predecessors, twentieth-century Swedish rug designers took inspiration from imported textiles and incorporated them into their own artistic language. simple geometric patterns and vignettes from everyday life are woven through this form of folk art, and what began as a long pile hand-knotted coverlet, transformed over time into flatweave designs. Purely ornamental in nature; the superior craftsmanship, simplicity, and purity of design give these floor pieces, dating from the 1920s to 1950s, a timeless relevance, and contemporary desirability.",rug-groups/s480386452440936931_p33_i1_w640.jpeg,53
55,a,Over-Dyed Distressed,,rug-groups/s480386452440936931_p41_i2_w640.jpeg,53
54,a,Kilim / Flat Weave,"Kilims are a pileless floor covering handwoven by tapestry techniques in Anatolia, the Balkans, and parts of Iran. in the rest of Iran, the Caucasus, and Turkistan, the name for similar pieces is pala. In most kilims, a slit occurs wherever two colors meet along a vertical line in the pattern, but in a few Karabagh or south caucasian pieces, interlocking methods are employed in order to minimize these slits. The Turks have produced the largest kilims, usually in two narrow pieces joined, as well as small ones and a multitude of prayer kilims. as a prayer rug, which is carried about with the worshiper, the light and extremely flexible kilim offers obvious advantages. In turkish kilims, cotton is often used for the white areas, and small details may be brocaded. The kilims of the southern Balkans began as close copies of Anatolian types but have gradually developed into individual styles, such as the black, red, and white kilims of the pilot. in Romania, also, there are varied local fashions, progressively less oriental in color and pattern as the distance from turkey increases. The name kilim is also given to a variety of brocaded, embroidered, warp-faced, and other flat-woven rugs and bags.",rug-groups/s480386452440936931_p59_i1_w640.jpeg,53
53,a,Vintage,"Our collection of vintage rugs, ranging from Moroccan Beni our rains to Turkish kilims, are true reflections of the times in which they were created. stylistically, one can see the influence of the modernist movement. Both abstract and minimalistic, each piece is an expression of experimentation and innovation, celebrating individualism and creativity.",rug-groups/s480386452440936931_p20_i1_w640.jpeg,
52,a,Oushak,,rug-groups/s480386452440936931_p133_i2_w640.jpeg,46
51,a,Kilim,,rug-groups/s480386452440936931_p270_i1_w640.jpeg,46
50,a,Kaysari,,rug-groups/s480386452440936931_p226_i1_w640.jpeg,46
49,a,Hereke,,default-rug.png,46
48,a,Sivas,,rug-groups/s480386452440936931_p261_i2_w640.jpeg,46
47,a,Ghiordes,,rug-groups/s480386452440936931_p1264_i3_w640.jpeg,46
46,a,Other,,rug-groups/s480386452440936931_p91_i1_w640.jpeg,1
45,a,Chinese,,rug-groups/s480386452440936931_p245_i1_w640.jpeg,1
44,a,Italian,,default-rug.png,37
43,a,Bessarabian / Ukrainian,,default-rug.png,37
42,a,Donegal / Arts and Crafts,,default-rug.png,37
41,a,Spanish,,rug-groups/s480386452440936931_p241_i1_w640.jpeg,37
40,a,French Savonnerie,,rug-groups/s480386452440936931_p1001_i1_w640.jpeg,37
39,a,French Deco / Aubusson,,rug-groups/s480386452440936931_p206_i1_w640.jpeg,37
38,a,Tapestry,,rug-groups/s480386452440936931_p1332_i1_w640.jpeg,37
37,a,European,,rug-groups/s480386452440936931_p237_i1_w640.jpeg,1
36,a,Larestan,,default-rug.png,30
35,a,Lahour,,default-rug.png,30
34,a,Kashmir,,default-rug.png,30
33,a,Dhurrie,,default-rug.png,30
32,a,Amritsar,,rug-groups/s480386452440936931_p488_i1_w996_p2uQUYI.jpeg,30
31,a,Agra,,rug-groups/s480386452440936931_p488_i1_w996_m2MyJpW.jpeg,30
30,a,Indian,,rug-groups/s480386452440936931_p488_i1_w996.jpeg,1
29,a,Khotan / Samarkand,,rug-groups/s480386452440936931_p146_i1_w616.jpeg,1
28,a,Kazak,,rug-groups/s480386452440936931_p360_i2_w1600.jpeg,23
27,a,Caucasian,,rug-groups/s480386452440936931_p220_i1_w768.jpeg,23
26,a,Shirvan,,rug-groups/s480386452440936931_p246_i1_w768.jpeg,23
25,a,Soumak,,rug-groups/s480386452440936931_p29_i1_w915.jpeg,23
24,a,Karabagh,,rug-groups/s480386452440936931_p1193_i1_w540.jpeg,23
23,a,Armenian / Caucasian,,rug-groups/s480386452440936931_p141_i1_w768.jpeg,1
22,a,Nain,,default-rug.png,16
21,a,Qum,,default-rug.png,16
20,a,Tehran,,default-rug.png,16
19,a,Isfahan,,rug-groups/s480386452440936931_p124_i2_w654.jpeg,16
18,a,Mashad,,rug-groups/s480386452440936931_p1382_i4_w938.jpeg,16
17,a,Kashan,,rug-groups/s480386452440936931_p136_i2_w716.jpeg,16
16,a,Persian Traditional,,rug-groups/s480386452440936931_p511_i2_w1600.jpeg,2
15,a,Bidjar,,default-rug.png,2
14,a,Bakhtiari,,rug-groups/s480386452440936931_p1386_i2_w906.jpeg,2
13,a,Bakshaish,,default-rug.png,2
12,a,Sarab / Camel Hair,,rug-groups/s480386452440936931_p1379_i3_w720.jpeg,2
11,a,Serapi,,default-rug.png,2
10,a,Heriz,,rug-groups/s480386452440936931_p1386_i2_w640.jpeg,2
9,a,Khorassan,,rug-groups/s480386452440936931_p528_i1_w640.jpeg,2
8,a,Kerman / Lavar Kerman,,rug-groups/s480386452440936931_p152_i1_w640.jpeg,2
7,a,Farahan,,rug-groups/s480386452440936931_p90_i2_w640.jpeg,2
6,a,Mahal,,rug-groups/s480386452440936931_p987_i6_w640.jpeg,2
5,a,Sultanabad,,rug-groups/s480386452440936931_p143_i4_w640.jpeg,2
4,a,Tabriz,,rug-groups/s480386452440936931_p109_i2_w640.jpeg,2
3,a,Malayer,,rug-groups/s480386452440936931_p860_i4_w940.jpeg,2
2,a,Persian,,rug-groups/s480386452440936931_p340_i1_w640.jpeg,1
1,a,Antique,"Our extensive collection of fine rugs, carpets, tapestries, and textiles ranges from the 17th century through the 20th century. Various cities and provinces of Caucuses, Persia, India, Turkey, China, East Turkestan, and Europe were among the principal weaving centers for these fine handmade masterpieces.",rug-groups/s480386452440936931_p12_i2_w640.jpeg,
